AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
-0.87,-5.36,1.01,0.68,-0.83,-0.16,1721027681149
-1.10,-8.18,1.59,0.32,-0.48,0.04,1721027681152
-0.69,-6.64,14.73,-1.45,1.03,0.58,1721027681163
-1.53,-5.15,11.91,-2.01,1.40,0.79,1721027681166
-3.32,-6.71,13.95,-2.43,1.64,0.78,1721027681169
-3.92,-6.05,11.15,-2.49,1.60,0.65,1721027681172
-3.74,-0.65,9.35,-2.27,1.40,0.59,1721027681175
-3.96,3.26,14.12,-1.52,0.90,0.61,1721027681177
-6.79,0.33,22.87,-1.04,0.10,0.71,1721027681180
-1.89,4.29,23.02,-0.98,-0.66,0.80,1721027681183
0.87,-0.73,21.53,-0.16,-1.27,1.00,1721027681186
3.87,2.30,3.62,2.25,-2.17,1.18,1721027681197
6.00,3.38,4.91,2.21,-2.17,1.07,1721027681200
7.17,4.97,0.49,1.75,-2.12,1.01,1721027681203
7.18,5.84,-2.64,1.39,-2.06,0.96,1721027681206
8.28,4.10,-0.71,0.95,-1.89,0.89,1721027681209
9.73,-2.02,3.15,0.43,-1.60,0.77,1721027681211
10.78,-8.80,4.28,-0.04,-1.21,0.65,1721027681214
10.43,-10.33,4.05,-0.29,-0.75,0.57,1721027681217
12.12,-10.45,9.34,-0.47,-0.20,0.54,1721027681220
11.00,-1.32,14.05,-1.70,2.12,0.23,1721027681231
11.83,-0.56,19.45,-1.41,2.43,-0.08,1721027681234
10.29,2.84,23.17,-0.96,2.59,-0.40,1721027681237
5.97,3.61,20.95,-0.67,2.68,-0.54,1721027681240
4.84,7.44,24.23,-0.14,2.69,-0.80,1721027681243
1.64,3.99,23.52,0.31,2.40,-1.21,1721027681245
-2.89,1.19,10.65,0.50,1.83,-1.47,1721027681248
-2.06,4.23,1.93,0.86,1.17,-1.65,1721027681251
-2.59,0.74,-0.40,1.23,0.38,-1.67,1721027681254
-3.23,-4.84,-1.46,1.10,-1.69,-2.18,1721027681265
-4.49,-9.94,3.96,0.46,-1.74,-2.10,1721027681268
-1.51,-10.85,5.16,0.14,-1.82,-1.98,1721027681271
