AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
0.89,-3.44,12.50,-0.27,0.01,0.10,1720971584994
2.05,-2.21,11.60,-0.04,-0.02,0.12,1720971585004
2.40,-1.04,11.36,-0.04,-0.06,0.12,1720971585007
2.70,0.78,11.43,-0.05,-0.10,0.09,1720971585010
3.33,4.02,11.52,0.02,-0.12,-0.23,1720971585020
3.19,4.69,10.50,0.13,-0.11,-0.34,1720971585023
2.95,5.79,9.55,0.26,-0.10,-0.44,1720971585026
1.53,8.23,6.61,0.26,0.04,-0.74,1720971585036
0.88,7.19,5.77,0.14,0.12,-0.77,1720971585039
0.23,5.81,5.42,0.03,0.18,-0.75,1720971585042
-1.36,2.85,6.91,-0.14,0.42,-0.56,1720971585052
-1.39,2.62,7.96,-0.19,0.52,-0.46,1720971585055
-1.41,2.33,8.56,-0.23,0.60,-0.34,1720971585058
-1.55,1.44,9.27,-0.13,0.61,-0.06,1720971585068
-1.39,1.54,8.52,-0.05,0.47,-0.02,1720971585071
-1.10,1.58,7.96,0.01,0.34,0.00,1720971585074
0.49,2.70,7.61,0.12,-0.54,-0.00,1720971585084
1.10,3.31,7.59,0.03,-0.69,-0.07,1720971585087
1.49,3.31,7.32,-0.01,-0.76,-0.12,1720971585090
3.37,1.30,9.00,0.02,-0.72,-0.26,1720971585100
3.81,1.57,9.73,0.09,-0.56,-0.30,1720971585103
4.08,2.06,10.20,0.12,-0.41,-0.33,1720971585106
4.32,3.90,10.78,0.12,0.49,-0.43,1720971585116
3.96,3.80,10.83,0.10,0.69,-0.46,1720971585119
3.68,3.85,10.78,0.10,0.79,-0.49,1720971585122
1.86,4.84,11.04,0.18,0.91,-0.70,1720971585132
1.06,4.75,10.89,0.20,0.82,-0.76,1720971585135
0.51,4.47,10.64,0.22,0.73,-0.81,1720971585138
-1.74,3.93,8.01,0.31,-0.04,-0.96,1720971585148
-1.94,4.03,7.95,0.33,-0.17,-0.96,1720971585151
-2.17,4.23,8.43,0.31,-0.31,-0.93,1720971585154
-2.43,4.97,9.69,0.05,-0.21,-0.64,1720971585164
-2.41,4.73,10.07,0.02,-0.12,-0.54,1720971585167
-2.38,4.39,10.72,-0.02,0.04,-0.39,1720971585170
-1.70,4.16,14.24,-0.16,0.65,0.07,1720971585180
-1.59,4.24,15.05,-0.20,0.70,0.14,1720971585183
-1.42,4.58,16.00,-0.28,0.69,0.23,1720971585186
0.22,2.40,18.38,-0.14,-0.02,0.33,1720971585196
0.86,2.58,18.59,-0.01,-0.16,0.32,1720971585199
1.61,3.20,18.27,0.21,-0.33,0.28,1720971585202
2.64,4.03,10.99,0.60,-0.57,-0.13,1720971585212
2.70,3.62,8.90,0.60,-0.61,-0.28,1720971585215
2.69,3.30,7.52,0.55,-0.62,-0.39,1720971585218
2.00,3.68,6.77,0.25,-0.28,-0.62,1720971585228
1.70,3.68,7.41,0.17,-0.05,-0.64,1720971585231
1.36,3.56,7.87,0.13,0.22,-0.63,1720971585234
-0.27,2.67,8.31,0.21,1.10,-0.44,1720971585244
-0.80,2.56,7.91,0.23,1.27,-0.36,1720971585247
-1.34,2.70,7.68,0.22,1.36,-0.29,1720971585250
-3.12,3.37,6.34,-0.04,0.93,-0.14,1720971585260
-3.25,1.95,5.04,-0.08,0.61,-0.12,1720971585263
-3.27,0.43,4.87,-0.07,0.26,-0.08,1720971585266
-2.25,0.37,4.47,0.10,-0.73,-0.10,1720971585276
-1.47,-0.07,5.46,0.11,-0.87,-0.11,1720971585279
-0.91,-0.16,6.81,0.08,-0.92,-0.07,1720971585282
1.13,2.34,10.10,-0.15,-0.41,0.11,1720971585292
1.62,1.26,10.71,-0.18,-0.13,0.18,1720971585295
1.92,0.12,10.53,-0.14,0.13,0.25,1720971585298
2.23,0.82,7.74,0.20,0.71,0.27,1720971585308
2.40,1.57,7.99,0.24,0.74,0.23,1720971585311
2.47,2.61,7.92,0.18,0.70,0.19,1720971585314
1.81,3.56,7.90,-0.12,0.32,-0.10,1720971585324
1.59,3.04,7.89,-0.12,0.16,-0.20,1720971585327
1.37,3.06,7.80,-0.07,0.01,-0.28,1720971585330
0.44,3.66,7.92,0.08,-0.16,-0.47,1720971585340
-0.03,3.84,6.88,0.09,-0.12,-0.50,1720971585343
-0.49,3.45,6.09,0.09,-0.06,-0.51,1720971585346
-1.68,1.99,4.45,-0.05,0.18,-0.35,1720971585356
-1.91,1.93,4.52,-0.11,0.25,-0.27,1720971585359
-2.11,1.85,4.46,-0.16,0.31,-0.20,1720971585362
-2.66,0.12,5.06,-0.34,0.40,-0.00,1720971585372
-2.67,-0.03,5.37,-0.36,0.38,0.05,1720971585375
-2.81,-0.15,5.84,-0.36,0.34,0.10,1720971585378
-1.96,-0.62,9.82,-0.36,0.10,0.32,1720971585388
-1.61,0.31,11.54,-0.41,0.04,0.40,1720971585391
-1.28,1.41,12.50,-0.48,-0.00,0.45,1720971585394
0.73,-1.30,16.75,-0.60,-0.04,0.68,1720971585404
1.23,-0.99,17.38,-0.50,-0.03,0.75,1720971585407
2.02,-0.45,18.56,-0.34,-0.01,0.78,1720971585410
4.60,3.33,19.22,-0.12,0.03,0.82,1720971585420
5.11,3.32,18.16,-0.06,-0.03,0.75,1720971585423
5.31,3.14,16.18,0.04,-0.12,0.62,1720971585426
5.54,4.54,10.04,0.28,-0.63,-0.08,1720971585436
5.33,5.26,8.68,0.23,-0.74,-0.26,1720971585439
4.84,5.48,7.60,0.16,-0.79,-0.40,1720971585442
2.56,1.73,7.75,-0.11,-0.41,-0.65,1720971585452
1.85,1.31,7.78,-0.13,-0.15,-0.64,1720971585455
1.23,1.19,7.94,-0.09,0.14,-0.61,1720971585458
-0.03,1.68,10.63,-0.22,1.16,-0.23,1720971585468
-0.73,1.22,11.32,-0.29,1.38,-0.09,1720971585471
-2.77,0.66,14.63,-0.31,1.43,0.13,1720971585478
-2.96,1.96,13.72,-0.34,1.19,0.16,1720971585481
-2.72,1.39,12.78,0.05,-0.29,0.22,1720971585491
-2.17,1.85,12.17,0.25,-0.70,0.20,1720971585494
-1.66,2.49,12.10,0.42,-0.99,0.17,1720971585497
0.98,6.17,9.13,0.22,-1.13,0.16,1720971585507
1.41,5.50,9.02,0.05,-0.99,0.21,1720971585510
1.87,4.05,9.22,-0.09,-0.82,0.27,1720971585513
2.83,2.08,11.05,-0.01,0.08,0.33,1720971585523
3.17,3.31,11.88,0.06,0.38,0.32,1720971585526
3.16,3.92,12.38,0.08,0.66,0.30,1720971585529
1.64,1.73,9.84,0.06,1.13,0.06,1720971585539
0.89,1.58,8.79,0.10,1.06,-0.04,1720971585542
0.24,1.61,7.77,0.15,0.90,-0.12,1720971585545
-1.79,3.71,8.95,0.12,0.07,-0.33,1720971585555
-2.09,4.30,8.67,0.07,-0.16,-0.37,1720971585558
-2.31,3.49,9.61,0.05,-0.33,-0.37,1720971585561
-2.62,2.17,9.70,0.13,-0.39,-0.08,1720971585571
-2.49,1.93,9.47,0.19,-0.31,0.03,1720971585574
-2.21,1.72,9.41,0.20,-0.20,0.15,1720971585577
-1.23,1.91,8.78,-0.04,0.13,0.52,1720971585587
