AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
-0.37,1.62,11.79,-0.06,0.20,0.63,1720972160672
0.17,-1.83,9.26,0.06,0.27,0.85,1720972160682
0.27,-1.86,8.16,0.11,0.20,0.88,1720972160685
0.48,-1.40,7.35,0.15,0.10,0.87,1720972160688
1.87,2.80,10.28,0.03,-0.17,0.67,1720972160698
2.08,4.11,10.31,-0.03,-0.18,0.61,1720972160701
2.33,3.91,11.51,-0.03,-0.16,0.58,1720972160704
2.55,5.32,12.60,0.15,0.15,0.54,1720972160714
2.64,5.72,12.83,0.19,0.27,0.53,1720972160717
2.43,5.50,12.21,0.18,0.35,0.53,1720972160720
1.12,1.34,9.14,0.03,0.40,0.41,1720972160730
0.72,1.48,8.49,0.05,0.35,0.35,1720972160733
0.47,1.97,8.43,0.10,0.27,0.30,1720972160736
0.14,2.04,8.45,0.06,0.02,0.39,1720972160746
0.18,2.20,8.14,0.08,-0.04,0.44,1720972160749
0.37,2.68,8.61,0.10,-0.08,0.49,1720972160752
0.23,4.26,7.67,0.13,0.00,0.35,1720972160762
0.28,3.82,7.30,0.10,0.05,0.31,1720972160765
0.25,3.52,7.08,0.07,0.07,0.31,1720972160768
0.46,2.68,12.62,-0.43,0.27,0.50,1720972160778
0.46,1.98,14.09,-0.43,0.34,0.54,1720972160781
0.43,1.37,14.97,-0.30,0.38,0.56,1720972160784
0.50,1.00,15.03,-0.16,0.38,0.56,1720972160787
0.54,3.42,7.55,0.58,-0.10,0.57,1720972160797
0.56,4.50,5.53,0.61,-0.28,0.49,1720972160800
0.59,4.87,4.86,0.55,-0.38,0.42,1720972160803
0.62,4.39,4.12,-0.11,-0.60,0.12,1720972160813
0.90,3.89,5.77,-0.27,-0.54,0.11,1720972160816
1.13,3.94,8.51,-0.51,-0.36,0.14,1720972160819
0.87,1.38,15.70,-0.38,0.88,0.43,1720972160829
0.14,0.90,14.41,-0.08,1.18,0.46,1720972160832
-0.44,1.24,13.00,0.12,1.31,0.46,1720972160835
-1.11,1.75,9.36,0.39,1.31,0.43,1720972160838
-1.87,1.86,2.30,-0.08,-0.02,0.52,1720972160848
-1.82,2.13,3.05,-0.27,-0.33,0.54,1720972160851
-1.63,2.50,5.83,-0.46,-0.72,0.50,1720972160854
1.04,2.21,13.01,-0.19,-0.93,0.44,1720972160864
1.41,2.95,13.33,-0.04,-0.79,0.52,1720972160867
1.61,5.02,13.21,0.16,-0.53,0.60,1720972160870
2.43,2.67,9.80,-0.17,0.37,0.76,1720972160880
2.28,1.95,9.15,-0.34,0.52,0.81,1720972160883
2.10,1.77,9.29,-0.37,0.61,0.79,1720972160886
1.94,3.15,10.26,-0.00,0.57,0.48,1720972160896
1.91,2.97,10.41,-0.03,0.42,0.46,1720972160899
1.58,2.14,10.47,-0.16,0.24,0.47,1720972160902
0.87,0.55,9.80,-0.13,-0.17,0.22,1720972160912
0.97,0.44,10.60,-0.01,-0.16,0.14,1720972160915
1.01,2.19,10.52,0.10,-0.12,0.12,1720972160918
0.03,3.20,7.42,0.11,0.18,0.21,1720972160928
-0.51,2.04,6.33,-0.03,0.27,0.24,1720972160931
-1.00,1.52,5.85,-0.12,0.35,0.23,1720972160934
-0.96,0.68,6.97,-0.12,0.39,0.30,1720972160944
-0.54,1.91,9.28,-0.14,0.28,0.50,1720972160947
-0.67,4.06,9.65,-0.18,0.14,0.68,1720972160950
0.13,2.03,10.39,-0.20,-0.15,0.78,1720972160960
0.44,2.38,9.65,-0.10,-0.20,0.76,1720972160963
0.81,2.58,10.48,-0.01,-0.19,0.70,1720972160966
1.98,4.18,12.04,-0.26,0.07,0.56,1720972160976
2.29,2.76,12.90,-0.33,0.18,0.57,1720972160979
2.32,1.46,13.45,-0.37,0.28,0.58,1720972160982
1.73,1.10,11.42,0.09,0.45,0.46,1720972160992
1.50,1.56,10.37,0.12,0.40,0.43,1720972160995
1.20,2.76,8.22,0.10,0.31,0.39,1720972160998
0.79,5.84,9.02,-0.22,-0.04,0.23,1720972161008
0.61,4.95,9.84,-0.36,-0.08,0.23,1720972161011
0.55,2.12,10.63,-0.41,-0.08,0.26,1720972161014
0.40,0.34,8.82,0.04,0.10,0.42,1720972161024
0.24,0.72,8.53,0.28,0.13,0.43,1720972161027
0.95,1.69,10.80,0.27,0.18,0.46,1720972161030
0.94,1.36,13.13,-0.49,0.21,0.49,1720972161040
1.26,-0.16,13.58,-0.52,0.19,0.46,1720972161043
1.28,0.64,13.09,-0.34,0.18,0.40,1720972161046
1.45,3.44,12.03,0.47,0.10,0.27,1720972161056
0.89,6.15,8.70,0.48,0.03,0.28,1720972161059
0.55,6.92,6.98,0.42,-0.06,0.26,1720972161062
0.58,3.51,7.25,-0.30,-0.14,0.22,1720972161072
0.59,3.08,9.33,-0.37,-0.09,0.25,1720972161075
0.77,2.62,12.18,-0.39,0.02,0.31,1720972161078
0.61,2.74,14.84,-0.10,0.54,0.45,1720972161088
0.48,2.98,14.62,0.02,0.60,0.46,1720972161091
0.31,2.63,13.69,0.07,0.57,0.47,1720972161094
0.00,2.53,8.50,0.08,-0.09,0.46,1720972161104
0.31,3.33,8.77,0.07,-0.30,0.42,1720972161107
0.57,3.76,8.92,0.04,-0.46,0.36,1720972161110
1.04,0.78,8.38,-0.06,-0.42,0.24,1720972161120
1.18,0.11,8.89,-0.06,-0.31,0.30,1720972161123
1.34,0.28,9.97,-0.08,-0.14,0.37,1720972161126
1.70,2.14,13.67,-0.19,0.67,0.53,1720972161136
1.56,1.52,13.93,-0.16,0.87,0.53,1720972161139
1.20,1.97,13.77,-0.06,0.96,0.51,1720972161142
-0.51,7.90,12.32,0.06,0.40,0.29,1720972161152
-0.91,8.83,10.73,0.14,0.06,0.21,1720972161155
-1.16,9.57,10.39,0.26,-0.24,0.12,1720972161158
-0.93,8.88,6.94,0.19,-0.58,0.05,1720972161168
-0.81,5.86,6.40,-0.06,-0.52,0.18,1720972161171
-0.68,4.05,6.29,-0.33,-0.41,0.34,1720972161174
-0.40,2.30,5.90,-0.28,0.14,0.54,1720972161184
0.19,-1.12,8.53,-0.33,0.27,0.62,1720972161187
1.10,-2.96,9.02,-0.55,0.40,0.76,1720972161190
0.55,-8.82,9.65,-0.76,0.57,0.91,1720972161200
0.15,-8.42,7.73,-0.59,0.46,0.83,1720972161203
0.46,-8.14,7.44,-0.28,0.29,0.76,1720972161206
2.68,-4.30,13.17,0.35,-0.37,0.54,1720972161216
3.17,0.95,16.37,0.22,-0.39,0.47,1720972161219
2.56,4.32,15.61,-0.02,-0.31,0.39,1720972161222
2.51,-0.23,11.53,0.35,0.10,0.33,1720972161232
1.57,2.44,8.31,0.68,0.20,0.30,1720972161235
1.06,3.52,6.61,0.97,0.26,0.25,1720972161238
0.44,6.85,3.29,0.39,0.25,0.38,1720972161248
0.09,5.07,3.42,0.25,0.19,0.41,1720972161251
-0.07,2.95,3.96,0.13,0.12,0.40,1720972161254
0.94,7.57,8.00,0.17,-0.04,0.53,1720972161264
1.46,10.19,9.32,-0.05,0.05,0.57,1720972161267
1.40,10.37,9.94,-0.24,0.13,0.60,1720972161270
2.40,4.76,14.06,-0.47,0.38,0.81,1720972161280
2.30,4.27,14.45,-0.30,0.40,0.78,1720972161283
2.34,3.61,15.68,-0.15,0.41,0.70,1720972161286
1.33,-0.52,10.94,0.04,0.18,0.25,1720972161296
1.12,-2.65,9.51,0.09,0.03,0.19,1720972161299
1.01,-3.79,8.31,0.07,-0.12,0.19,1720972161302
1.13,-2.40,6.02,0.05,-0.42,0.39,1720972161312
