AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
-0.81,-1.27,12.04,-0.05,0.25,-0.08,1721026732592
-0.89,-1.07,12.39,-0.01,0.38,-0.04,1721026732595
-0.99,-0.59,12.58,0.01,0.45,-0.00,1721026732597
-1.25,-0.19,12.45,-0.00,0.47,0.02,1721026732600
-1.61,-0.35,10.91,0.03,0.04,0.07,1721026732611
-1.36,-0.60,10.39,0.11,-0.14,0.08,1721026732614
-1.08,-0.56,10.10,0.17,-0.30,0.09,1721026732617
-0.67,-0.13,9.77,0.20,-0.41,0.12,1721026732620
-0.36,0.55,9.37,0.18,-0.46,0.14,1721026732623
-0.02,0.84,8.89,0.12,-0.45,0.15,1721026732625
0.79,-0.54,8.38,-0.03,-0.18,0.16,1721026732636
0.95,-0.57,9.09,-0.04,-0.04,0.16,1721026732639
1.19,-0.34,10.41,-0.09,0.12,0.15,1721026732642
1.36,0.22,11.47,-0.15,0.30,0.15,1721026732645
1.33,0.57,12.07,-0.19,0.46,0.14,1721026732648
1.15,0.32,12.63,-0.17,0.59,0.14,1721026732650
0.00,-0.15,11.64,0.08,0.58,0.05,1721026732660
-0.33,0.05,10.59,0.16,0.40,0.03,1721026732663
-0.50,0.06,9.44,0.19,0.18,0.00,1721026732666
-0.63,0.08,8.02,0.17,-0.07,-0.02,1721026732669
-0.56,-0.12,6.97,0.14,-0.29,-0.05,1721026732672
-0.39,-0.56,6.57,0.10,-0.46,-0.07,1721026732674
0.47,-1.14,7.83,-0.11,-0.54,-0.07,1721026732685
0.76,-1.00,8.22,-0.10,-0.41,-0.06,1721026732688
1.08,-1.25,9.28,-0.08,-0.24,-0.03,1721026732691
1.35,-1.29,10.10,-0.09,-0.03,-0.01,1721026732694
1.32,-0.85,10.37,-0.11,0.19,0.01,1721026732697
1.47,-0.77,10.59,-0.11,0.40,0.02,1721026732699
1.47,-0.88,10.71,-0.10,0.51,0.03,1721026732702
0.38,0.64,10.55,-0.01,0.62,-0.06,1721026732713
