AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
-0.16,0.02,13.21,-0.20,-0.14,0.64,1720439127201
0.25,0.34,13.52,-0.19,-0.04,0.66,1720439127204
0.45,1.30,13.52,-0.19,0.00,0.66,1720439127206
0.45,2.24,13.38,-0.17,-0.02,0.63,1720439127209
0.55,2.83,13.21,-0.12,-0.10,0.55,1720439127212
0.68,3.28,12.96,-0.01,-0.20,0.42,1720439127215
0.91,3.07,12.69,0.11,-0.31,0.28,1720439127218
1.26,1.95,11.90,0.20,-0.38,0.16,1720439127221
1.59,0.37,10.70,0.29,-0.40,0.06,1720439127224
1.68,-0.23,9.74,0.33,-0.38,0.02,1720439127227
1.58,-0.33,8.06,0.39,-0.32,-0.05,1720439127230
1.31,-0.10,6.86,0.43,-0.24,-0.13,1720439127233
0.99,0.26,5.76,0.38,-0.18,-0.22,1720439127236
0.69,0.48,4.94,0.28,-0.13,-0.28,1720439127238
0.28,0.45,4.75,0.13,-0.12,-0.32,1720439127241
-0.19,0.69,5.03,-0.04,-0.13,-0.34,1720439127244
-0.68,1.25,6.17,-0.20,-0.16,-0.37,1720439127247
-1.14,1.85,7.76,-0.37,-0.21,-0.40,1720439127250
